"CAIT Climate Data Explorer. 2015. Washington, DC: World Resources Institute. Available online at: http://cait.wri.org.  Please Note: CAIT data are derived from several sources. Full citations are available at http://cait.wri.org/faq.html#q07. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2014, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, ©OECD/IEA, 2014.",,,,,
Country,Year,Energy (MtCO2e),Industrial Processes (MtCO2e),Agriculture (MtCO2e),Waste (MtCO2e)
Nepal,2013,11.84710954,1.53978875,21.8351423,0.805441323
Netherlands,2013,158.5178967,5.427251469,17.5375631,5.045618871
New Zealand,2013,32.62569681,2.073990274,38.3607386,2.013123306
Nicaragua,2013,5.232397425,0.430319412,7.5659482,0.833412852
Niger,2013,2.70574069,0.032843149,21.9954388,1.854642228
Nigeria,2013,162.7276812,10.31205021,64.4746851,67.54593435
Niue,2013,0.056340962,0.029055818,0.0012333,0.000882255
Norway,2013,36.93262984,3.919808597,4.580419,1.159688081
Oman,2013,96.36527731,2.888986961,1.6010107,0.93417582
Pakistan,2013,156.2916498,16.75275387,147.0583397,6.671248187
Palau,2013,0.25648,0.118983997,0,0.015155176
Panama,2013,9.971653371,1.445049517,3.5850358,2.270009541
Papua New Guinea,2013,7.749409637,0.170744948,5.6249021,2.998469068
Paraguay,2013,5.617513576,0.676505116,25.8306569,5.607542081
Peru,2013,47.30605687,6.219597966,23.2783599,9.406159045
Philippines,2013,95.92448281,14.43853901,50.6679086,10.57344591
Poland,2013,309.5841586,12.69808865,30.2230683,8.685204545
Portugal,2013,44.99173305,3.297823918,6.1621255,7.579432233
Qatar,2013,78.30161711,3.220767808,0.8768904,0.447052607
Romania,2013,82.4950496,8.080089737,14.0581308,4.851805821
Russian Federation,2013,1960.291673,75.23740184,91.729724,71.90981213
Rwanda,2013,1.718740052,0.086602264,3.0071071,1.821886629
Saint Kitts & Nevis,2013,0.229740008,0.014508826,0.0631818,0.063849333
Saint Lucia,2013,0.409813543,0.012022423,0.0268966,0.684293173
Saint Vincent & Grenadines,2013,0.209173304,0.002706196,0.0140024,0.049422329
Samoa,2013,0.198490757,0.005960769,0.1485825,0.116519977
Sao Tome & Principe,2013,0.159123962,0.0015792,0.0150216,0.012964476
Saudi Arabia,2013,480.3081649,33.58258881,7.3266108,25.21968153
Senegal,2013,8.815748636,2.682096601,11.0217645,2.966336749
Serbia,2013,47.21564662,1.961458768,6.8231435,3.032560969
Seychelles,2013,0.403238131,0.00139675,0.0040275,0.060799881
Sierra Leone,2013,1.03439975,0.24083932,3.0027774,2.452223721
Singapore,2013,47.38340438,3.933234856,0.0955684,1.538642498
Slovakia,2013,33.2873921,2.145144446,2.4218926,2.4657979
Slovenia,2013,14.86629129,1.159439005,1.4214453,0.575463935
Solomon Islands,2013,0.20152,0.002858794,0.0615367,0.297216493
Somalia,2013,0.612519018,0.226505451,20.2524164,2.040523115
South Africa,2013,439.1216343,21.41346295,30.516697,19.17129446
Spain,2013,241.1031194,14.44143473,34.9049245,16.2281797
Sri Lanka,2013,17.74926914,1.307411783,6.1176155,12.66714757
Sudan,2013,39.37639396,0.690168488,71.4475052,1.493494123
Suriname,2013,2.43884379,0.113890562,0.7458096,0.088640649
Swaziland,2013,1.415812931,0.011608797,0.9436777,0.488672998
Sweden,2013,39.49739128,3.205984676,6.4566714,1.714401973
Switzerland,2013,42.2170405,3.601409606,5.0971795,0.57430458
Syria,2013,49.25721254,3.889754276,6.6905778,5.981954871
Tajikistan,2013,3.815741822,0.465086219,5.3540681,0.609500111
Tanzania,2013,21.9899964,1.286468691,50.0030892,4.537926472
Thailand,2013,264.6489852,23.97282968,67.6151083,10.13100541
Togo,2013,2.614953995,0.944569075,2.5027263,0.798549167
Tonga,2013,0.113901378,0.002675687,0.0817058,0.118068789
Trinidad & Tobago,2013,24.11763226,0.838462508,0.2490559,0.607060817
Tunisia,2013,25.55397396,4.515300153,4.2065854,1.371969081
Turkey,2013,291.6465627,38.12007296,43.8105393,34.88024195
Turkmenistan,2013,100.9046971,2.136554711,8.0916455,1.152147383
Tuvalu,2013,0.010992,0.000396251,0.0055757,0.006492321
Uganda,2013,8.180336486,1.023265236,23.6509613,0.474075505
Ukraine,2013,321.5156355,13.85495792,31.0756666,9.499239629
United Arab Emirates,2013,203.1432948,9.531204975,1.6423367,4.465763019
United Kingdom,2013,464.5007143,17.47009111,43.8050129,20.48828724
United States,2013,5495.021016,270.0204404,351.6421002,163.1526662
Uruguay,2013,7.302155109,1.016445293,24.1946577,1.492472867
Uzbekistan,2013,188.0459908,5.682434813,27.0040276,5.066180957
Vanuatu,2013,0.128971731,0.006578114,0.4207573,0.117205571
Venezuela,2013,213.4423112,11.22223004,36.1386888,7.953895106
Vietnam,2013,153.7402233,29.60078426,63.9253811,9.252393431
Yemen,2013,24.67695529,1.92661,7.5207298,1.527952195
Zambia,2013,24.2333664,0.975661309,23.1021182,2.096292597
Zimbabwe,2013,15.09697567,1.594575537,9.9864418,0.719739382
World,2013,35520.28155,3054.301524,5179.418072,1507.250534
European Union (28),2013,3474.820938,202.9558364,407.2334277,140.2223561
